ExcelDate,Series,Board,Qual,Code,Subject,Paper,Session,Duration
18/05/2022,01/06/2022,AQA,GCSE,8700/01,English Language,Explorations in creative reading and writing,AM,1h 45m
10/06/2022,01/06/2022,AQA,GCSE,8700/02,English Language,Writers' viewpoints and perspectives,AM,1h 45m
